20:	ohoh
12:	its
12:	falling
12:	the
11:	ohohoh
10:	when
10:	rain
9:	lets
8:	down
8:	come
8:	as
8:	watch
7:	your
7:	like
6:	of
6:	so
6:	on
6:	i
5:	feel
5:	out
4:	im
4:	town
4:	keep
4:	dont
4:	skin
4:	around
4:	youre
4:	not
4:	same
4:	sunlight
4:	shit
3:	yeah
3:	yo
3:	and
2:	bed
2:	cant
2:	would
2:	fine
2:	because
2:	keeps
2:	if
2:	you
2:	nails
2:	em
2:	is
2:	love
2:	tears
2:	we
2:	walking
2:	have
2:	just
2:	a
2:	darling
1:	die
1:	do
1:	got
1:	interviews
1:	that
1:	his
1:	remorse
1:	bro
1:	song
1:	sooner
1:	check
1:	hella
1:	watched
1:	were
1:	name
1:	know
1:	brother
1:	thats
1:	no
1:	for
1:	cause
1:	peep
1:	known
1:	now
1:	kinda
1:	live
1:	unfortunate
1:	will
1:	cool
1:	was
1:	makes
1:	shitty
1:	people
1:	alike
1:	he


There are 302 words in this song.
